composite_id,created_timestamp,updated_timestamp,status,severity_name,tactic,technique,hostname,device_id,platform_name,user_name,file_name,sha256,command_line,product,type,description
alert-0011,2026-06-25T16:14:19.791849+00:00,2026-06-25T17:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user11,sample.exe,000000000000000000000000000000000000000000000000000000000000000b,sample.exe -silent,EPP,LDT,Demo alert
alert-0012,2026-06-25T15:14:19.791849+00:00,2026-06-25T16:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user0,powershell.exe,000000000000000000000000000000000000000000000000000000000000000c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0013,2026-06-25T14:14:19.791849+00:00,2026-06-25T15:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user1,cmd.exe,000000000000000000000000000000000000000000000000000000000000000d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0014,2026-06-25T13:14:19.791849+00:00,2026-06-25T14:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user2,rundll32.exe,000000000000000000000000000000000000000000000000000000000000000e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0015,2026-06-25T12:14:19.791849+00:00,2026-06-25T13:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user3,sample.exe,000000000000000000000000000000000000000000000000000000000000000f,sample.exe -silent,EPP,LDT,Demo alert
alert-0016,2026-06-25T11:14:19.791849+00:00,2026-06-25T12:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000010,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0017,2026-06-25T10:14:19.791849+00:00,2026-06-25T11:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000011,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0018,2026-06-25T09:14:19.791849+00:00,2026-06-25T10:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user6,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000012,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0019,2026-06-25T08:14:19.791849+00:00,2026-06-25T09:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user7,sample.exe,0000000000000000000000000000000000000000000000000000000000000013,sample.exe -silent,EPP,LDT,Demo alert
alert-0020,2026-06-25T07:14:19.791849+00:00,2026-06-25T08:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000014,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0021,2026-06-25T06:14:19.791849+00:00,2026-06-25T07:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000015,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0022,2026-06-25T05:14:19.791849+00:00,2026-06-25T06:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user10,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000016,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0023,2026-06-25T04:14:19.791849+00:00,2026-06-25T05:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user11,sample.exe,0000000000000000000000000000000000000000000000000000000000000017,sample.exe -silent,EPP,LDT,Demo alert
alert-0024,2026-06-25T03:14:19.791849+00:00,2026-06-25T04:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user0,powershell.exe,0000000000000000000000000000000000000000000000000000000000000018,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0025,2026-06-25T02:14:19.791849+00:00,2026-06-25T03:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000019,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0026,2026-06-25T01:14:19.791849+00:00,2026-06-25T02:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user2,rundll32.exe,000000000000000000000000000000000000000000000000000000000000001a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0027,2026-06-25T00:14:19.791849+00:00,2026-06-25T01:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user3,sample.exe,000000000000000000000000000000000000000000000000000000000000001b,sample.exe -silent,EPP,LDT,Demo alert
alert-0028,2026-06-24T23:14:19.791849+00:00,2026-06-25T00:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user4,powershell.exe,000000000000000000000000000000000000000000000000000000000000001c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0029,2026-06-24T22:14:19.791849+00:00,2026-06-24T23:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user5,cmd.exe,000000000000000000000000000000000000000000000000000000000000001d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0030,2026-06-24T21:14:19.791849+00:00,2026-06-24T22:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user6,rundll32.exe,000000000000000000000000000000000000000000000000000000000000001e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0031,2026-06-24T20:14:19.791849+00:00,2026-06-24T21:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user7,sample.exe,000000000000000000000000000000000000000000000000000000000000001f,sample.exe -silent,EPP,LDT,Demo alert
alert-0032,2026-06-24T19:14:19.791849+00:00,2026-06-24T20:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000020,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0033,2026-06-24T18:14:19.791849+00:00,2026-06-24T19:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000021,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0034,2026-06-24T17:14:19.791849+00:00,2026-06-24T18:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user10,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000022,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0035,2026-06-24T16:14:19.791849+00:00,2026-06-24T17:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user11,sample.exe,0000000000000000000000000000000000000000000000000000000000000023,sample.exe -silent,EPP,LDT,Demo alert
alert-0036,2026-06-24T15:14:19.791849+00:00,2026-06-24T16:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user0,powershell.exe,0000000000000000000000000000000000000000000000000000000000000024,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0037,2026-06-24T14:14:19.791849+00:00,2026-06-24T15:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000025,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0038,2026-06-24T13:14:19.791849+00:00,2026-06-24T14:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user2,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000026,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0039,2026-06-24T12:14:19.791849+00:00,2026-06-24T13:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user3,sample.exe,0000000000000000000000000000000000000000000000000000000000000027,sample.exe -silent,EPP,LDT,Demo alert
alert-0040,2026-06-24T11:14:19.791849+00:00,2026-06-24T12:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000028,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0041,2026-06-24T10:14:19.791849+00:00,2026-06-24T11:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000029,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0042,2026-06-24T09:14:19.791849+00:00,2026-06-24T10:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user6,rundll32.exe,000000000000000000000000000000000000000000000000000000000000002a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0043,2026-06-24T08:14:19.791849+00:00,2026-06-24T09:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user7,sample.exe,000000000000000000000000000000000000000000000000000000000000002b,sample.exe -silent,EPP,LDT,Demo alert
alert-0044,2026-06-24T07:14:19.791849+00:00,2026-06-24T08:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user8,powershell.exe,000000000000000000000000000000000000000000000000000000000000002c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0045,2026-06-24T06:14:19.791849+00:00,2026-06-24T07:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user9,cmd.exe,000000000000000000000000000000000000000000000000000000000000002d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0046,2026-06-24T05:14:19.791849+00:00,2026-06-24T06:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user10,rundll32.exe,000000000000000000000000000000000000000000000000000000000000002e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0047,2026-06-24T04:14:19.791849+00:00,2026-06-24T05:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user11,sample.exe,000000000000000000000000000000000000000000000000000000000000002f,sample.exe -silent,EPP,LDT,Demo alert
alert-0048,2026-06-24T03:14:19.791849+00:00,2026-06-24T04:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user0,powershell.exe,0000000000000000000000000000000000000000000000000000000000000030,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0049,2026-06-24T02:14:19.791849+00:00,2026-06-24T03:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000031,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0050,2026-06-24T01:14:19.791849+00:00,2026-06-24T02:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user2,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000032,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0051,2026-06-24T00:14:19.791849+00:00,2026-06-24T01:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user3,sample.exe,0000000000000000000000000000000000000000000000000000000000000033,sample.exe -silent,EPP,LDT,Demo alert
alert-0052,2026-06-23T23:14:19.791849+00:00,2026-06-24T00:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000034,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0053,2026-06-23T22:14:19.791849+00:00,2026-06-23T23:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000035,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0054,2026-06-23T21:14:19.791849+00:00,2026-06-23T22:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user6,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000036,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0055,2026-06-23T20:14:19.791849+00:00,2026-06-23T21:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user7,sample.exe,0000000000000000000000000000000000000000000000000000000000000037,sample.exe -silent,EPP,LDT,Demo alert
alert-0056,2026-06-23T19:14:19.791849+00:00,2026-06-23T20:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000038,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0057,2026-06-23T18:14:19.791849+00:00,2026-06-23T19:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000039,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0058,2026-06-23T17:14:19.791849+00:00,2026-06-23T18:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user10,rundll32.exe,000000000000000000000000000000000000000000000000000000000000003a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0059,2026-06-23T16:14:19.791849+00:00,2026-06-23T17:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user11,sample.exe,000000000000000000000000000000000000000000000000000000000000003b,sample.exe -silent,EPP,LDT,Demo alert
alert-0060,2026-06-23T15:14:19.791849+00:00,2026-06-23T16:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user0,powershell.exe,000000000000000000000000000000000000000000000000000000000000003c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0061,2026-06-23T14:14:19.791849+00:00,2026-06-23T15:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user1,cmd.exe,000000000000000000000000000000000000000000000000000000000000003d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0062,2026-06-23T13:14:19.791849+00:00,2026-06-23T14:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user2,rundll32.exe,000000000000000000000000000000000000000000000000000000000000003e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0063,2026-06-23T12:14:19.791849+00:00,2026-06-23T13:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user3,sample.exe,000000000000000000000000000000000000000000000000000000000000003f,sample.exe -silent,EPP,LDT,Demo alert
alert-0064,2026-06-23T11:14:19.791849+00:00,2026-06-23T12:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000040,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0065,2026-06-23T10:14:19.791849+00:00,2026-06-23T11:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000041,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0066,2026-06-23T09:14:19.791849+00:00,2026-06-23T10:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user6,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000042,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0067,2026-06-23T08:14:19.791849+00:00,2026-06-23T09:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user7,sample.exe,0000000000000000000000000000000000000000000000000000000000000043,sample.exe -silent,EPP,LDT,Demo alert
alert-0068,2026-06-23T07:14:19.791849+00:00,2026-06-23T08:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000044,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0069,2026-06-23T06:14:19.791849+00:00,2026-06-23T07:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000045,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0070,2026-06-23T05:14:19.791849+00:00,2026-06-23T06:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user10,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000046,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0071,2026-06-23T04:14:19.791849+00:00,2026-06-23T05:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user11,sample.exe,0000000000000000000000000000000000000000000000000000000000000047,sample.exe -silent,EPP,LDT,Demo alert
alert-0072,2026-06-23T03:14:19.791849+00:00,2026-06-23T04:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user0,powershell.exe,0000000000000000000000000000000000000000000000000000000000000048,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0073,2026-06-23T02:14:19.791849+00:00,2026-06-23T03:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000049,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0074,2026-06-23T01:14:19.791849+00:00,2026-06-23T02:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user2,rundll32.exe,000000000000000000000000000000000000000000000000000000000000004a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0075,2026-06-23T00:14:19.791849+00:00,2026-06-23T01:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user3,sample.exe,000000000000000000000000000000000000000000000000000000000000004b,sample.exe -silent,EPP,LDT,Demo alert
alert-0076,2026-06-22T23:14:19.791849+00:00,2026-06-23T00:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user4,powershell.exe,000000000000000000000000000000000000000000000000000000000000004c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0077,2026-06-22T22:14:19.791849+00:00,2026-06-22T23:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user5,cmd.exe,000000000000000000000000000000000000000000000000000000000000004d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0078,2026-06-22T21:14:19.791849+00:00,2026-06-22T22:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user6,rundll32.exe,000000000000000000000000000000000000000000000000000000000000004e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0079,2026-06-22T20:14:19.791849+00:00,2026-06-22T21:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user7,sample.exe,000000000000000000000000000000000000000000000000000000000000004f,sample.exe -silent,EPP,LDT,Demo alert
alert-0080,2026-06-22T19:14:19.791849+00:00,2026-06-22T20:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-006,aid-006,Windows,user8,powershell.exe,0000000000000000000000000000000000000000000000000000000000000050,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0081,2026-06-22T18:14:19.791849+00:00,2026-06-22T19:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-007,aid-007,Windows,user9,cmd.exe,0000000000000000000000000000000000000000000000000000000000000051,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0082,2026-06-22T17:14:19.791849+00:00,2026-06-22T18:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-008,aid-008,Linux,user10,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000052,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0083,2026-06-22T16:14:19.791849+00:00,2026-06-22T17:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-009,aid-009,Mac,user11,sample.exe,0000000000000000000000000000000000000000000000000000000000000053,sample.exe -silent,EPP,LDT,Demo alert
alert-0084,2026-06-22T15:14:19.791849+00:00,2026-06-22T16:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-010,aid-010,Windows,user0,powershell.exe,0000000000000000000000000000000000000000000000000000000000000054,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0085,2026-06-22T14:14:19.791849+00:00,2026-06-22T15:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-011,aid-011,Windows,user1,cmd.exe,0000000000000000000000000000000000000000000000000000000000000055,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0086,2026-06-22T13:14:19.791849+00:00,2026-06-22T14:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-012,aid-012,Windows,user2,rundll32.exe,0000000000000000000000000000000000000000000000000000000000000056,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0087,2026-06-22T12:14:19.791849+00:00,2026-06-22T13:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-013,aid-013,Linux,user3,sample.exe,0000000000000000000000000000000000000000000000000000000000000057,sample.exe -silent,EPP,LDT,Demo alert
alert-0088,2026-06-22T11:14:19.791849+00:00,2026-06-22T12:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-014,aid-014,Mac,user4,powershell.exe,0000000000000000000000000000000000000000000000000000000000000058,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0089,2026-06-22T10:14:19.791849+00:00,2026-06-22T11:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-015,aid-015,Windows,user5,cmd.exe,0000000000000000000000000000000000000000000000000000000000000059,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0090,2026-06-22T09:14:19.791849+00:00,2026-06-22T10:14:19.791849+00:00,closed,High,Execution,PowerShell,DEMO-WIN-001,aid-001,Windows,user6,rundll32.exe,000000000000000000000000000000000000000000000000000000000000005a,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
alert-0091,2026-06-22T08:14:19.791849+00:00,2026-06-22T09:14:19.791849+00:00,closed,Medium,Machine Learning,Cloud-based ML,DEMO-WIN-002,aid-002,Windows,user7,sample.exe,000000000000000000000000000000000000000000000000000000000000005b,sample.exe -silent,EPP,LDT,Demo alert
alert-0092,2026-06-22T07:14:19.791849+00:00,2026-06-22T08:14:19.791849+00:00,closed,Low,Command and Control,Application Layer Protocol,DEMO-LIN-003,aid-003,Linux,user8,powershell.exe,000000000000000000000000000000000000000000000000000000000000005c,powershell.exe -ep bypass,EPP,LDT,Demo alert
alert-0093,2026-06-22T06:14:19.791849+00:00,2026-06-22T07:14:19.791849+00:00,new,Critical,Persistence,Scheduled Task/Job,DEMO-MAC-004,aid-004,Mac,user9,cmd.exe,000000000000000000000000000000000000000000000000000000000000005d,cmd.exe /c whoami,EPP,LDT,Demo alert
alert-0094,2026-06-22T05:14:19.791849+00:00,2026-06-22T06:14:19.791849+00:00,in progress,Informational,Defense Evasion,Masquerading,DEMO-WIN-005,aid-005,Windows,user10,rundll32.exe,000000000000000000000000000000000000000000000000000000000000005e,"rundll32.exe test.dll,Start",EPP,LDT,Demo alert
